year,id1,id2
1999,354,61927
2006,355,37380
2015,356,30008
2002,357,40753
2002,357,65434
2002,357,66756
2014,358,2866
2012,358,11911
2006,359,53656
2006,359,79509
1999,360,4902
2010,361,33698
2010,361,45548
1999,362,17489
2010,362,25763
2003,362,31409
2010,362,52416
2005,362,62529
2005,363,3129
2005,363,33100
2002,363,76757
2002,365,34215
2002,365,46230
2002,365,60499
2006,366,56173
2011,367,8993
2009,367,35476
2009,367,40781
2011,367,51228
2011,367,68222
2002,368,4358
2005,368,22901
2006,368,25683
2006,368,30204
2006,368,33649
2002,368,76248
2010,369,1828
2010,369,26520
2010,369,55258
2005,370,8522
2005,370,28167
2005,370,50649
2006,370,63414
2005,370,74238
1988,371,31459
2003,374,5346
2001,374,7204
2000,374,29602
2000,374,30305
2000,374,58433
2001,374,73261
2006,376,67529
2004,378,12217
2004,378,30973
2009,380,39228
2009,380,47884
2012,382,2233
2015,382,23548
2001,384,37727
2001,384,79131
1998,385,12971
2006,386,687
2006,386,56069
1997,388,23812
1997,388,51669
2002,389,29590
2002,389,78345
2014,392,55232
2006,393,18109
2006,393,25361
2006,393,80005
1999,395,59571
2004,396,6033
2005,396,9078
2005,396,20009
2004,396,27632
2005,396,42943
2004,396,72168
2014,397,22477
2014,397,31861
2010,398,30446
2016,398,30848
2010,398,47509
2013,398,49154
2009,401,1617
2009,401,28567
2002,402,76958
2003,403,78330
2004,404,10855
2004,404,33610
2005,406,3364
2005,406,12985
2005,406,16608
2005,406,21163
2003,406,53644
2005,406,69352
2004,408,5445
2004,408,40595
2004,408,47237
2004,408,47491
2004,408,55664
2002,409,1974
2005,409,33120
2003,409,42282
2002,409,53800
2006,409,72136
2011,410,77935
1997,413,5838
1997,413,48921
2009,414,11331
1999,414,13875
2008,414,27744
2003,414,33106
2016,414,36508
2011,414,45026
1999,414,53067
2002,414,54597
2003,414,56935
1999,414,60378
2003,414,60973
1999,414,63230
2000,414,69361
2016,414,71856
1999,415,48566
1999,415,76448
2012,416,54099
2001,418,44883
2005,420,3468
2004,420,7724
2012,420,22556
2011,420,57600
2013,420,69078
2011,420,77169
2004,422,6338
2003,422,37987
2003,422,45429
2012,423,76617
2006,424,3713
2006,424,14768
2005,424,45384
2006,424,51956
2006,424,55596
2003,424,56186
2003,424,66867
2004,426,57348
2004,426,73103
2004,427,71861
2006,428,15640
2006,429,520
2015,429,1749
2006,429,19938
2013,429,46801
2004,430,5919
2003,430,30657
2003,430,33656
2004,430,57090
2002,431,6135
2006,431,6459
2000,431,22266
2006,431,27460
2006,431,28796
2000,431,37785
1998,431,60013
1999,432,44190
1994,433,12378
1994,433,46814
1994,433,67767
2014,434,3612
2014,434,30700
2006,435,44720
2005,436,668
2005,436,21025
2004,437,28818
2016,438,45657
2002,439,2391
2002,439,72015
2003,440,14876
1975,441,69944
2003,445,1202
2003,445,66955
2013,446,42570
2004,447,3104
2004,447,6499
2004,448,11703
2004,448,16611
2007,448,37819
2007,448,55503
2004,448,73636
2003,449,9920
2002,451,3350
1999,451,14192
1999,451,22365
2001,451,25341
2004,451,37071
2003,451,40400
1998,452,62522
1989,453,75528
2000,456,60712
2015,457,7124
2014,457,25174
1999,458,36476
1999,458,54925
1999,458,55995
2006,460,15921
2003,460,54320
2003,460,63694
2006,460,63803
2010,462,22661
2005,464,18465
2005,464,26381
2001,466,26323
2004,467,3895
2002,467,4661
2001,467,59733
2015,468,20425
2014,472,47345
2014,472,59013
2012,473,11184
2012,473,28679
2004,474,16146
2004,474,43541
2003,475,57446
2016,477,10473
2016,477,72759
2001,478,56377
2001,478,77272
2006,480,67750
2006,481,72546
2003,483,5832
2013,483,19369
2004,483,35746
2003,483,52458
2003,483,61610
2006,485,16265
2006,485,66358
2011,486,76162
2006,487,713
2006,487,66796
1998,488,57780
2015,489,38347
2015,489,78582
2000,490,21741
2002,490,31517
2000,490,61461
2002,490,79569
2004,491,3668
2002,491,5348
2000,491,9928
2004,491,10626
2006,491,36618
2004,491,53095
2006,491,61942
2004,491,62594
2002,491,66229
2004,492,31469
2004,492,36444
2004,492,64694
2011,493,55342
2009,495,892
2009,495,3379
2009,495,4797
2009,495,5064
2009,495,9648
2006,495,12175
1995,495,23954
1979,495,24389
2001,495,27227
2009,495,27382
2014,495,27845
2009,495,27897
1993,495,30310
2009,495,34153
2014,495,42346
1997,495,52600
2009,495,57050
2009,495,60728
2000,495,77621
2001,496,5176
2005,496,43091
2005,496,52742
2006,498,54922
2005,500,8030
2006,501,30876
2006,501,55621
1998,503,9477
2004,504,28301
2005,507,1101
2002,508,7020
2002,508,34824
2004,508,52908
2002,508,54281
2004,508,66422
2004,508,75442
2005,509,16207
2006,510,2349
2006,510,13908
2006,510,21224
2006,510,52114
2001,511,6467
2004,511,80181
2007,512,2638
2005,512,53981
2006,512,75950
2014,513,23352
2012,513,28171
2014,513,28501
2006,515,50996
2007,517,20497
2007,517,62316
2006,518,1180
2006,518,5158
2003,518,21073
2004,518,29789
2006,518,51362
2016,520,41476
2005,521,27764
2004,521,27896
2006,521,27919
2004,521,53009
2009,521,54620
2001,522,45857
2001,522,48923
2001,522,51424
1996,522,57813
2006,523,2907
2006,523,33709
2006,523,62488
2006,525,38600
2006,525,60824
2002,525,64547
2006,525,79202
2015,527,3733
2015,527,11857
2015,527,50846
2000,532,5236
2005,532,44920
2000,532,56160
2005,532,67097
2005,535,65340
2006,536,51806
2004,537,64084
1997,538,1183
1997,538,13570
2004,538,13593
2004,538,23653
2000,538,67790
2001,540,1720
1999,540,25763
1997,540,56997
2003,540,59128
2006,541,5775
2006,541,44488
2006,541,64934
